Дата,Россия,США,Германия,Великобритания,Всего,Россия%,США%,Германия%,Великобритания%,Всего%,Доллар США,Евро,Доллар/Евро,Евро/Доллар
1/22/20,0,1,0,0,555,0.0,3.0375689873683606e-07,0.0,0.0,7.099538082306032e-06,61.8552,68.6222,0.9013875975996106,1.1094006647783856
1/23/20,0,1,0,0,654,0.0,3.0375689873683606e-07,0.0,0.0,8.365942172663325e-06,61.8343,68.5186,0.9024454673621468,1.1081001968163302
1/24/20,0,2,0,0,941,0.0,6.075137974736721e-07,0.0,0.0,1.2037234838648605e-05,61.9515,68.6856,0.9019576155700759,1.1086995472264594
1/25/20,0,2,0,0,1434,0.0,6.075137974736721e-07,0.0,0.0,1.834367136941775e-05,61.8031,68.2924,0.9049777134790987,1.1049995873993377
1/26/20,0,5,0,0,2118,0.0,1.5187844936841802e-06,0.0,0.0,2.709337235734086e-05,61.8031,68.2924,0.9049777134790987,1.1049995873993377
1/27/20,0,5,1,0,2927,0.0,1.5187844936841802e-06,1.2026559453897987e-06,0.0,3.744206840884641e-05,61.8031,68.2924,0.9049777134790987,1.1049995873993377
1/28/20,0,5,4,0,5578,0.0,1.5187844936841802e-06,4.810623781559195e-06,0.0,7.135355571730279e-05,62.338,68.7775,0.9063719966558831,1.1032997529596715
1/29/20,0,6,4,0,6167,0.0,1.8225413924210164e-06,4.810623781559195e-06,0.0,7.888802045690324e-05,62.8299,69.226,0.9076055239360934,1.1018002575207027
1/30/20,0,6,4,0,8235,0.0,1.8225413924210164e-06,4.810623781559195e-06,0.0,0.00010534179478881112,62.3934,68.6764,0.9085129680647209,1.1006997534995688
1/31/20,2,8,5,2,9927,1.3647219379051518e-06,2.4300551898946885e-06,6.0132797269489946e-06,2.985372362061542e-06,0.00012698579196946302,63.0359,69.4151,0.9081006870263099,1.1011994752196763
2/1/20,2,8,8,2,12038,1.3647219379051518e-06,2.4300551898946885e-06,9.62124756311839e-06,2.985372362061542e-06,0.00015398962060324327,63.1385,69.5976,0.9071936388611102,1.102300498111295
2/2/20,2,8,10,2,16787,1.3647219379051518e-06,2.4300551898946885e-06,1.2026559453897989e-05,2.985372362061542e-06,0.0002147386410588673,63.1385,69.5976,0.9071936388611102,1.102300498111295
2/3/20,2,11,12,8,19887,1.3647219379051518e-06,3.341325886105196e-06,1.4431871344677587e-05,1.1941489448246169e-05,0.0002543937186357118,63.1385,69.5976,0.9071936388611102,1.102300498111295
2/4/20,2,11,12,8,23898,1.3647219379051518e-06,3.341325886105196e-06,1.4431871344677587e-05,1.1941489448246169e-05,0.0003057022722359452,63.9091,70.7921,0.9027716369481905,1.107699842432455
2/5/20,2,11,12,9,27643,1.3647219379051518e-06,3.341325886105196e-06,1.4431871344677587e-05,1.3434175629276939e-05,0.00035360816434087505,63.4342,70.1265,0.9045681732298062,1.1054998723086285
2/6/20,2,12,12,9,30803,1.3647219379051518e-06,3.6450827848420328e-06,1.4431871344677587e-05,1.3434175629276939e-05,0.0003940307595482391,63.1742,69.7443,0.9057973196375905,1.1039997340686545
2/7/20,2,12,13,9,34396,1.3647219379051518e-06,3.6450827848420328e-06,1.5634527290067383e-05,1.3434175629276939e-05,0.0004399922736558528,62.7977,69.0837,0.9090089268524993,1.10009920745505
2/8/20,2,12,13,13,37130,1.3647219379051518e-06,3.6450827848420328e-06,1.5634527290067383e-05,1.940492035340002e-05,0.00047496549368652785,63.472,69.6288,0.9115768187876282,1.0970002520796571
2/9/20,2,12,14,14,40160,1.3647219379051518e-06,3.6450827848420328e-06,1.6837183235457184e-05,2.089760653443079e-05,0.0005137251340277662,63.472,69.6288,0.9115768187876282,1.0970002520796571
2/10/20,2,12,14,14,42769,1.3647219379051518e-06,3.6450827848420328e-06,1.6837183235457184e-05,2.089760653443079e-05,0.0005470993589948589,63.472,69.6288,0.9115768187876282,1.0970002520796571
2/11/20,2,13,16,15,44811,1.3647219379051518e-06,3.9488396835788685e-06,1.924249512623678e-05,2.2390292715461564e-05,0.0005732205423535416,63.7708,69.8226,0.9133260577520746,1.0948992328777434
2/12/20,2,13,16,16,45229,1.3647219379051518e-06,3.9488396835788685e-06,1.924249512623678e-05,2.3882978896492337e-05,0.0005785675818461613,63.949,69.7684,0.9165897455008284,1.0910006411359052
2/13/20,2,14,16,17,60382,1.3647219379051518e-06,4.252596582315705e-06,1.924249512623678e-05,2.5375665077523107e-05,0.000772404159433879,63.047,68.7843,0.9165899776547846,1.0910003648072073
2/14/20,2,14,16,18,66909,1.3647219379051518e-06,4.252596582315705e-06,1.924249512623678e-05,2.6868351258553878e-05,0.0008558972856738997,63.6016,69.1795,0.9193706228001068,1.087700623883676
2/15/20,2,14,16,18,69051,1.3647219379051518e-06,4.252596582315705e-06,1.924249512623678e-05,2.6868351258553878e-05,0.0008832976650834483,63.4536,68.771,0.9226796178621803,1.0837998159284894
2/16/20,2,14,16,18,71235,1.3647219379051518e-06,4.252596582315705e-06,1.924249512623678e-05,2.6868351258553878e-05,0.0009112353068343608,63.4536,68.771,0.9226796178621803,1.0837998159284894
2/17/20,2,14,16,19,73270,1.3647219379051518e-06,4.252596582315705e-06,1.924249512623678e-05,2.8361037439584648e-05,0.0009372669464694829,63.4536,68.771,0.9226796178621803,1.0837998159284894
2/18/20,2,14,16,19,75152,1.3647219379051518e-06,4.252596582315705e-06,1.924249512623678e-05,2.8361037439584648e-05,0.00096134141614678,63.3085,68.6201,0.9225941087232459,1.083900266156993
2/19/20,2,14,16,20,75652,1.3647219379051518e-06,4.252596582315705e-06,1.924249512623678e-05,2.9853723620615418e-05,0.0009677373964011098,63.7698,69.0882,0.9230201394738898,1.0833999793005467
