Дата,Доллар США,Евро
22.01.2020,61.8552,68.6222
23.01.2020,61.8343,68.5186
24.01.2020,61.9515,68.6856
25.01.2020,61.8031,68.2924
28.01.2020,62.3380,68.7775
29.01.2020,62.8299,69.2260
30.01.2020,62.3934,68.6764
31.01.2020,63.0359,69.4151
01.02.2020,63.1385,69.5976
04.02.2020,63.9091,70.7921
05.02.2020,63.4342,70.1265
06.02.2020,63.1742,69.7443
07.02.2020,62.7977,69.0837
08.02.2020,63.4720,69.6288
11.02.2020,63.7708,69.8226
12.02.2020,63.9490,69.7684
13.02.2020,63.0470,68.7843
14.02.2020,63.6016,69.1795
15.02.2020,63.4536,68.7710
18.02.2020,63.3085,68.6201
19.02.2020,63.7698,69.0882
20.02.2020,63.6873,68.7823
21.02.2020,63.7413,68.7705
22.02.2020,64.3008,69.4191
26.02.2020,64.9213,70.4591
27.02.2020,65.5177,71.2439
28.02.2020,65.6097,71.6458
29.02.2020,66.9909,73.7235
03.03.2020,66.3274,73.4178
04.03.2020,66.4437,73.9385
05.03.2020,66.0784,73.7369
06.03.2020,66.1854,73.6842
07.03.2020,67.5175,75.8424
11.03.2020,72.0208,81.8588
12.03.2020,71.4720,81.0207
13.03.2020,74.0274,83.6584
14.03.2020,73.1882,81.8610
17.03.2020,74.1262,82.7471
18.03.2020,73.8896,82.3056
19.03.2020,77.2131,84.8881
20.03.2020,80.1570,87.2669
21.03.2020,78.0443,84.1552
24.03.2020,80.8815,86.7050
25.03.2020,78.8493,85.4253
26.03.2020,77.7928,84.1485
27.03.2020,78.7223,85.9648
28.03.2020,77.7325,85.7389
07.04.2020,76.4074,82.6346
08.04.2020,75.4550,82.0120
09.04.2020,75.7499,82.2341
10.04.2020,74.6050,81.0882
11.04.2020,73.7515,80.7358
14.04.2020,73.5245,80.5387
15.04.2020,73.3150,80.1186
16.04.2020,73.7145,80.6731
17.04.2020,74.7119,81.2791
18.04.2020,73.9441,80.1110
21.04.2020,74.6657,81.1019
22.04.2020,76.2562,82.6160
23.04.2020,77.0416,83.6826
24.04.2020,75.1290,81.1468
25.04.2020,74.7163,80.2528
28.04.2020,74.4960,80.7611
29.04.2020,74.5706,80.7749
30.04.2020,73.6894,80.0488
01.05.2020,72.7263,79.1189
07.05.2020,73.9719,80.0598
08.05.2020,74.1169,80.0611
09.05.2020,73.8725,80.0039
13.05.2020,73.4326,79.4394
14.05.2020,73.5819,79.7775
15.05.2020,73.9298,79.9033
16.05.2020,73.2056,79.1279
19.05.2020,72.9798,78.9422
20.05.2020,72.3918,79.1677
21.05.2020,72.3381,79.1813
22.05.2020,70.9240,77.7965
23.05.2020,71.8804,78.4431
26.05.2020,71.5962,77.8823
27.05.2020,71.1408,77.7854
28.05.2020,71.0635,77.9069
29.05.2020,71.1012,78.2611
30.05.2020,70.7520,78.5489
02.06.2020,69.7114,77.6376
03.06.2020,68.9831,76.7782
04.06.2020,68.3413,76.6243
05.06.2020,69.0151,77.3245
06.06.2020,68.6319,77.9658
09.06.2020,68.3123,77.1861
10.06.2020,68.6745,77.3481
11.06.2020,68.6183,77.9229
12.06.2020,69.1219,78.5225
16.06.2020,70.3950,79.1451
17.06.2020,69.7524,79.0434
18.06.2020,69.4822,78.3829
19.06.2020,69.6180,78.2924
20.06.2020,69.5725,78.0047
23.06.2020,69.4835,77.8285
24.06.2020,68.8376,77.6832
